,index,component,part,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,erroneous
158,158,8.0,3.0,7.0,1.0,0.0,0.0,0.0,120.0,32.0,0.0
159,159,11.0,1.0,7.0,1.0,0.0,0.0,0.0,128.0,30.0,0.0
160,160,11.0,4.0,7.0,1.0,0.0,0.0,0.0,128.0,32.0,0.0
161,161,0.0,4.0,7.0,1.0,0.0,0.0,0.0,128.0,32.0,0.0
162,162,0.0,4.0,7.0,1.0,0.0,0.0,0.0,128.0,32.0,0.0
163,163,13.0,4.0,7.0,1.0,0.0,0.0,0.0,128.0,32.0,0.0
164,164,13.0,3.0,7.0,1.0,0.0,0.0,0.0,127.0,33.0,0.0
165,165,13.0,3.0,7.0,0.0,0.0,0.0,0.0,127.0,33.0,0.0
166,166,13.0,3.0,7.0,1.0,0.0,0.0,0.0,127.0,33.0,0.0
167,167,14.0,4.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
168,168,12.0,4.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
169,169,15.0,4.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
170,170,16.0,7.0,0.0,0.0,0.0,0.0,0.0,158.0,28.0,0.0
171,171,16.0,7.0,0.0,0.0,0.0,0.0,0.0,158.0,28.0,0.0
172,172,17.0,7.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
173,173,17.0,7.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
174,174,5.0,7.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
175,175,5.0,7.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
176,176,0.0,7.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
177,177,3.0,1.0,2.0,0.0,0.0,0.0,0.0,158.0,25.0,0.0
178,178,11.0,4.0,2.0,0.0,0.0,0.0,0.0,158.0,34.0,0.0
179,179,0.0,4.0,2.0,0.0,0.0,0.0,0.0,158.0,34.0,0.0
180,180,0.0,4.0,2.0,0.0,0.0,0.0,0.0,158.0,34.0,0.0
181,181,13.0,4.0,2.0,0.0,0.0,0.0,0.0,158.0,34.0,0.0
182,182,0.0,1.0,2.0,0.0,0.0,0.0,0.0,158.0,10.0,0.0
183,183,4.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
184,184,4.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
185,185,9.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
186,186,1.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
187,187,10.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
188,188,18.0,3.0,0.0,1.0,0.0,0.0,0.0,158.0,28.0,0.0
189,189,16.0,2.0,7.0,0.0,0.0,0.0,0.0,153.0,35.0,0.0
190,190,16.0,2.0,7.0,0.0,0.0,0.0,0.0,153.0,35.0,0.0
191,191,17.0,1.0,8.0,1.0,0.0,0.0,0.0,153.0,36.0,0.0
192,192,16.0,2.0,7.0,1.0,0.0,0.0,0.0,153.0,33.0,0.0
193,193,16.0,2.0,7.0,1.0,0.0,0.0,0.0,153.0,33.0,0.0
194,194,5.0,4.0,7.0,0.0,0.0,0.0,0.0,-77.0,33.0,0.0
195,195,5.0,4.0,7.0,0.0,0.0,0.0,0.0,-77.0,33.0,0.0
196,196,5.0,4.0,7.0,0.0,0.0,0.0,0.0,-77.0,33.0,0.0
197,197,11.0,4.0,7.0,0.0,0.0,0.0,0.0,-77.0,33.0,0.0
198,198,7.0,5.0,7.0,0.0,0.0,0.0,0.0,-75.0,33.0,0.0
199,199,7.0,5.0,7.0,0.0,0.0,0.0,0.0,-75.0,33.0,0.0
200,200,7.0,5.0,7.0,0.0,0.0,0.0,0.0,-75.0,33.0,0.0
201,201,11.0,5.0,7.0,0.0,0.0,0.0,0.0,-75.0,33.0,0.0
202,202,11.0,5.0,7.0,0.0,0.0,0.0,0.0,-75.0,33.0,0.0
203,203,4.0,1.0,0.0,1.0,0.0,0.0,0.0,-37.0,33.0,0.0
204,204,16.0,2.0,7.0,0.0,0.0,0.0,0.0,8.0,35.0,0.0
205,205,16.0,2.0,7.0,0.0,0.0,0.0,0.0,8.0,35.0,0.0
206,206,17.0,1.0,8.0,1.0,0.0,0.0,0.0,8.0,36.0,0.0
207,207,16.0,2.0,7.0,1.0,0.0,0.0,0.0,8.0,33.0,0.0
208,208,16.0,2.0,7.0,1.0,0.0,0.0,0.0,8.0,33.0,0.0
209,209,0.0,1.0,7.0,1.0,0.0,0.0,0.0,8.0,36.0,0.0
210,210,11.0,4.0,7.0,1.0,0.0,0.0,0.0,8.0,32.0,0.0
211,211,0.0,4.0,7.0,1.0,0.0,0.0,0.0,8.0,32.0,0.0
212,212,0.0,4.0,7.0,1.0,0.0,0.0,0.0,8.0,32.0,0.0
213,213,13.0,4.0,7.0,1.0,0.0,0.0,0.0,8.0,32.0,0.0
214,214,19.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,32.0,0.0
215,215,19.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,32.0,0.0
216,216,19.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,32.0,0.0
